Tweet ID,Text,Likes,Retweets,Total Interactions
1310200304751841281,Se me callan porque esta vaina me tomó dos semanas. Muchas gracias @manuelgo por recomendarme echar el cuento detrá… https://t.co/wARWbbmLBx,1584,461,2045
1310200320065142784,"Bueno, la película animada fue estrenada en el año 1997 y no era de Disney, como muchos quizás piensan, era de Fox,… https://t.co/zCwGuo7GeC",223,11,234
1310200335722590208,"En este hilo me voy a limitar a contar en lo que los guionistas se inspiraron para hacer esta película, no me voy a… https://t.co/2WYcWE6OBu",136,8,144
1310200352885665794,Ok. En verdad si tengo que hablar un poquito ( POR ENCIMITA) de los Romanov para empezar la vaina esta. https://t.co/TUViAX0FMT,113,5,118
1310200417230491654,"Bueno érase una vez en Rusia, una familia real que se llamaban los Romanov, y reinaron sabrosamente por 300 años ha… https://t.co/01FGDkdRML",176,17,193
1310200439019917312,En el año 1917 por culpa de la revolución Bolchevique el papá de Anastasia el Zar Nicolás II abdicó al trono y vivi… https://t.co/u0jdbMzCyu,100,10,110
1310200453699862530,"En la película pintan que toda la desgracia que cae sobre los Romanov fue por culpa de Rasputín, pero Rasputín en v… https://t.co/ECSvmvWBTC",87,9,96
1310200468224782337,"Pero ese viejo era BIEN raro ok y aquí en este hilo no me voy a meter en esa cueva del guacharo, si quieren vayan a… https://t.co/941PLnZtr3",156,7,163
1310200484137971712,Cómo iba diciendo los Romanov vivieron en palacio por carcel por un año hasta una noche de 1918 que despertaron a t… https://t.co/45TJKsQ6aX,80,7,87
1310200531789451266,"Pero en verdad los Bolcheviques estaban esperándolos para fusilarlos a todos, ni el perrito de Anastasia se salvó.… https://t.co/vO2ZdArnkK",84,10,94
1310200548172484608,¿Ven por qué no quería hablar de los Romanov? Cuando salió esa película yo era una niña y quedé enamorada de la pri… https://t.co/Iq3DMjJSsN,189,14,203
1310200564630904837,"Tal cual como aprendimos en la serie de Chernobyl, los rusos son una vaina seria. Y como no explicaron un coño sobr… https://t.co/hjfCz3jeYw",99,9,108
1310200577293537281,"Obviamente todo el mundo aseguraba ser Judío sefardí, que digo, todo el mundo aseguraba ser Anastasia o Alexei. https://t.co/3ACUA55L42",170,7,177
1310200593269624834,Aproximadamente 100 mujeres aseguraron ser Anastasia. Y ojo con esto: en verdad la película animada no está basada… https://t.co/CMVgn3MkX0,101,9,110
1310200616199819265,El mito de Anna Anderson comienza dos años después de la masacre cuando una caraja se lanzó de un puente en Berlín.… https://t.co/nmSuJyPjW9,84,6,90
1310200633723629573,"Por su comportamiento la internaron en un hospital psiquiátrico donde permaneció durante dos años, según internet,… https://t.co/Gp55YSLC7E",83,6,89
1310200651117473792,"Sospechaban porque “Madame desconocida” como la llamaban, tenía un comportamiento súper excéntrico, tenía cicatrice… https://t.co/oZugG0LpPn",84,7,91
1310200667605274625,"Tanto sospechaban que una doña súper entrepita que estaba internada también, cuando le dieron de alta buscó a expat… https://t.co/ibJ7MXmYxy",87,7,94
1310200688383856640,Y la señora del cafetal además se dedicó a llenarle la habitación de visitas de antiguos amigos y sirvientes de los… https://t.co/zANTbKich1,88,6,94
1310200707686060034,Aunque había días que se despertaba con mood de princesa y mandaba a la mierda a todo el que viniera a preguntarle… https://t.co/ogvNgTqbLP,84,5,89
1310200726161948678,"De hecho, una vez el capitán Nicholas Von Schwabe que era el guardia personal de la emperatriz ( la abuela de Anast… https://t.co/lOFHWnD6ss",80,4,84
1310200742595178497,"Cuando el capitan se fue le dijo furiosa a las enfermeras: “ese carajo tiene fotos de mi abuela, majomenos???” https://t.co/rM4HwwYo5E",104,4,108
1310200759519195137,En otra oportunidad la baronesa Sophie Buxhoeveden que era íntima de la Zarina Alexandra al verla dijo: “demasiado… https://t.co/LrhxC4ZOGr,107,5,112
1310200779488350208,"A pesar de todos los intentos de Madame misteriosa para que la dejaran en paz, el chisme empezó a correr por toda A… https://t.co/izMw5YcaW0",79,4,83
1310200797456674817,"Y le pasó un papelito con todos los nombres de los Romanov, Madame desconocida tachó todos los nombres menos el de… https://t.co/92kzl8sgbJ",85,5,90
1310201584308060166,ESTE CULEBRÓN ES DEMASIADO LARGO PARA UN HILO Y ESTA ES LA CONTINUACIÓN TE ODIO @manuelgo https://t.co/QqKdjJH7a4,188,16,204
