Tweet ID,Text,Likes,Retweets,Total Interactions
1297962799407259650,Se me callan porque voy a contar la verdadera historia de la película que vimos una sola vez pero nos traumatizó pa… https://t.co/UFmjCLbFR1,835,232,1067
1297962819892195331,Pd: ok yo sé que no les voy a arruinar la infancia contando Bambi porque ajá ese trabajo ya lo hizo Disney; Pero ig… https://t.co/uquIeR0hDV,72,7,79
1297962838703706112,"Bueno, la película que ha traumatizado a todas las generaciones de niños desde el año 1942, está basada en una nove… https://t.co/XOSyJPMSwj",65,6,71
1297962860027482114,"Ah y por cierto. Esa novela de Félix Salten no era una novela para niños, no no, era una novela para adultos. Enton… https://t.co/ybWycQagkk",77,5,82
1297962884182482946,"El libro de Bambi es básicamente Boyhood pero con animalitos, siguen la historia de un cervatillo desde que nace ha… https://t.co/nSEd971TRU",75,7,82
1297962900934610952,"Nuestra historia comienza con la mamá de Bambi trayéndolo al mundo durante el verano, y bueno nada, le enseña las v… https://t.co/844IJYicfo",107,7,114
1297962915471986691,"Cuando ella considera que ya Bambi está grandecito, lo lleva al claro del bosque, donde en la adaptación de Disney… https://t.co/oZCp0DSKzb",68,6,74
1297962931322322950,"Así que en vez de conocer a sus amiguitos, ve como matan a un ratón justo delante de él y escucha como todos los an… https://t.co/mhHmcVpxY6",205,6,211
1297962954906894336,Sin contar con que la mamá de Bambi estaba súper estresada porque en cualquier momento podían venir los cazadores r… https://t.co/QOny46v8DA,87,7,94
1297962979732987908,"A pesar de todos los peligros que implicaba para ellos, siempre tenían que ir a ese claro, porque que sé yo, a lo m… https://t.co/kvYvjZcuz8",99,6,105
1297963000108900354,"Mientras están en su pequeña reunión familiar, aparecen en el claro (como por dos minutos y ya.) “los principes” qu… https://t.co/sn0W1XI1oa",77,6,83
1297963023131435009,"Mientras Bambi crece su madre lo empieza a dejar solo cada vez más para que sea independiente, pero Bambi era muy m… https://t.co/98yxkcztri",74,6,80
1297963036452499464,"El onvre, que era un maldito, al ver a Bambi inmediatamente le apunta con su arma. Bambi huye por su vida y eventua… https://t.co/EcKJMzCGCo",107,5,112
1297963046552436736,"De aquí en adelante Bambi se acostumbra un poco a estar solo, pero llega el invierno y con el allá temporada de caz… https://t.co/unyiVfa7Kh",67,5,72
1297963059005272064,"Un día mientras Bambi estaba solo, escuchó lo que el pensó que era un trueno y bueno, paso lo que nos marcó para si… https://t.co/BmXCRhZHNd",112,8,120
1297963072905261058,Después de este coñazo la historia de Bambi salta unos años y lo encontramos como un adulto jóven con su primera co… https://t.co/xIv7pCbAzq,140,9,149
1297963091918036992,"Después de un tiempo chanceando con la chamyta, Bambi escucha que lo llama a través del bosque y que “Bambiii tengo… https://t.co/JoDLkP2gx3",96,5,101
1297963107478798336,Mientras iba en camino el gran Ciervo que era su papa lo intercepta y le dice que los onvres son capaces de imitar… https://t.co/balwKLLQqJ,72,5,77
1297963123136237579,"A partir de ese momento Bambi empieza a ghostear a Faline y a pasar la mayoría del tiempo solo, o con su padre que… https://t.co/fFcMSkhGDS",64,6,70
1297963619251113985,Eventualmente un onvre le pega un tiro a Bambi 😔 pero su papá el principe aparece mágicamente y le dice que corra e… https://t.co/IfldAyERTK,66,6,72
1297964270450356226,Cuando Bambi se sintió lo suficientemente fuerte su padre lo llevó a dar un paseo por el bosque y le enseñó el cada… https://t.co/3sCR1b5BjN,67,6,73
1297965002524168193,"Y ya esa fue la historia de Bambi, la película que más nunca volveremos a ver. Pero recuerden niñitos no anden por… https://t.co/YsXljNTevQ",238,14,252
