Tweet ID,Text,Likes,Retweets,Total Interactions
1271595575671230464,"Ok, se me callan porque es viernes y el cuerpo lo sabe; Pero estamos en cuarentena así que en vez terminar en una t… https://t.co/Tk2tcsZL7k",796,253,1049
1271595592737849348,Blancanieves ocupa un lugar muy especial en Disney ® porque fue el primer clásico de animación. Es la princesa más… https://t.co/fQawCxJQfB,135,4,139
1271595604905463809,Así como las otras películas de Disney ® Blancanieves está basada en una historia antigua. Esta en particular es de… https://t.co/c79foyx3Lx,136,4,140
1271595615936548865,"Pero a su vez los hermanos Grimm se inspiraron posiblemente en una mujer que existió, así que esta es la parte dond… https://t.co/zFLJlM1IGX",125,4,129
1271595636404686849,"Se trata de María Sophia Margaretha Catharina Von Erthal, a la que por fines prácticos llamaremos “Sofi”. Sofi era… https://t.co/570Yb21T9c",105,3,108
1271595654981267456,"Sofi era una princesita (cállate Chyno) súper linda y encantadora, con la particularidad que una viruela en su niñe… https://t.co/PFNmrb8s03",121,3,124
1271595666389831685,"Los únicos amigos de la princesa Sofi eran niños desnutridos y envejecidos por el trabajo en las minas de su padre,… https://t.co/XBL2DqEsAr",205,4,209
1271595678389678080,Algo que no me esperaba es que el “espejo mágico” de la Reina malvada también existió! fue un regalo del padre de S… https://t.co/DycdWs0jcD,105,4,109
1271595691215851521,De hecho pueden visitarlo y gritarle “SE ESTÁN LLEVANDO A LEDEZMA” la próxima vez que visiten el castillo de Löhr e… https://t.co/WR9cnoSkte,429,15,444
1271595709041696770,"Ajá, voy la historia de los hermanos Grimm. Todo empieza cuando una Reina estaba en el jardín de su castillo durant… https://t.co/Nev2sb1lNL",106,3,109
1271595727073030144,"En ese momento la reina desea tener una hija tan blanca como la poceta MAS, con los labios tan rojos como la sangre… https://t.co/noH2qxji7u",219,11,230
1271595738611449856,"Para nada porque ahí mismo se murió, tanto que no llegó a salir en la película de Disney, y el papá de Blancanieves… https://t.co/cmSOrHqNpV",149,3,152
1271595748887597057,"La madrastra de Blancanieves además era una hechicera y tenía un espejo mágico, al que siempre le preguntaba “espej… https://t.co/y7n6uzlv1g",146,4,150
1271595761051086853,"Pasaron los años y Blancanieves cada día se hacía más y más hermosa, y la Reina, insegura, siempre le preguntaba al… https://t.co/920lBqCcPu",113,4,117
1271595774145638402,"Un día la Reina le preguntó la misma vaina y el espejo, que no era escaparate de nadie le dijo: “Tu sabes que yo te… https://t.co/MvFcAwzkUC",246,10,256
1271595786426560513,Entonces la Reina en vez de ir a terapia y desconstruir sus traumas de la infancia que la hacen tener baja autoesti… https://t.co/OLVWDEZ3ND,194,10,204
1271595799634468864,Entonces la Reina malvada le pagó a un cazador 45 tequeños para que llevara a Blancanieves al bosque y le dio esta… https://t.co/TwLGbPmSS1,245,7,252
1271595813190410240,"Bueno como se acuerdan de la película, el cazador no fue capaz de matar a Blancanieves y le dice que cruce la front… https://t.co/ckRPKZXQkq",114,3,117
1271595823718113284,"Y así Blancanieves corre por el bosque huyendo lo más lejos posible del reino y de su madrastra malvada, en eso ve… https://t.co/DObFYqwpnx",204,9,213
1271595835168567296,"Por su parte el cazador regresa al castillo y la Reina, que al parecer nunca vió biología en su vida, juro que los… https://t.co/M32OGJo2O7",148,5,153
1271595845155278848,"Después de comer la Reina va donde el espejo y le pregunta otra vez: “Ajá, cuéntame quien es la más hermosa ahora?”… https://t.co/L4fvtzM4bu",136,8,144
1271595857264226310,Entonces la Reina decidió tomar el asunto por sus propias manos  y cambiar de estrategia. Así que se disfrazó de vi… https://t.co/tfdLDcZUtF,133,4,137
1271595869599653890,Al otro lado del bosque los siete enanos llegan a su casa  después de su jornada laboral solo para encontrar la nev… https://t.co/zWZsbjujmg,174,6,180
1271595883033960451,"Blancanieves se despierta y se ve rodeada de 7 enanos, se asustó pero recordó que ella era la invasora y se le pasó… https://t.co/vNP9MGCIE1",138,6,144
