Tweet ID,Text,Likes,Retweets,Total Interactions
1315825020481011713,"Se me callan, porque @la_zurrapa dijo que me estaba esperando y ya saben cómo es, a las mujeres embarazadas hay que… https://t.co/DdTSvWSRhB",443,92,535
1315825079624896513,"Este tweet de mierda fue un problema técnico que tuve en el hilo y no pude borrar. Pero bueno, continúen, don’t min… https://t.co/xe7bQ0rCoe",50,1,51
1315825288727715840,"La película (INCREÍBLE) de The road to El Dorado que probablemente ya viste y sino: ¿qué estás esperando, ah? No es… https://t.co/HqIuatYFrf",58,2,60
1315825327650861056,"Por cierto,  la música de esta película es buenísima, o sea tiene nada menos que a Sir Elton John y a Hans Zimmer,… https://t.co/TE0ukjYkoo",70,3,73
1315825375948288007,"Bueno, la película es más que todo una historia original, que agarra ciertos elementos históricos y nos cuentan lo… https://t.co/fvtDPZ5g7l",57,3,60
1315825399683784705,"Esto lo estrenaron en el año 2000, y para ese entonces los guionistas no se quemaron mucho el coco y tomaron un poc… https://t.co/C1KWwNhaAQ",47,3,50
1315825428985262080,"Apartando esas imprecisiones, la película está basada en La leyenda del Dorado, ¿quién lo habría imaginado, verdad?… https://t.co/gMeuH2trHg",45,2,47
1315825455442821121,"Bueno cuando el señor Cristóbal Colón de gasolina llegó a America, por ahí cerca de la primera comunión de JVR. Vin… https://t.co/C31AGf36u0",88,3,91
1315825482080940033,"Y a ver, un poco la promesa de dejar tu vida en Europa y venir a este continente salvaje era la de HAZTE MILLONARIO… https://t.co/M7ZD7i7ZUc",51,2,53
1315825502884564993,"Y cada vez llegaban más y más historias de las riquezas de America, y una de las más famosas fue la leyenda del Dor… https://t.co/8KWQN6dDVK",60,4,64
1315825519414345728,"Y obviamente nunca consiguieron un coño porque no existió nunca 🤷🏻‍♀️ entonces tú me dirás, ni Mandrake. Pero PERO,… https://t.co/zge8mFi75b",46,2,48
1315825537370279936,"RESULTA. Que “El Dorado” nunca se refirió a un lugar, “El Dorado” hacía referencia a una persona. Específicamente a… https://t.co/2dnTPyDnTj",59,4,63
1315825547734396928,El ritual del indio dorado tenía lugar en la laguna de Guatavita. Esta laguna para los Muiscas era muy importante p… https://t.co/SQuaTZM7e6,49,5,54
1315825562397675526,Verán. Para los Muiscas el oro no tenía el valor monetario que tenía para los españoles. Para los Muiscas el oro re… https://t.co/ti6ylShi8P,54,4,58
1315825587995508736,El ritual era básicamente una iniciación para el nuevo cacique de la tribu. Lo montaban en una balsa con un poco de… https://t.co/JJrxgMDcvX,57,4,61
1315825608635621377,"Entonces el cacique se metía en la laguna y cuando llegaba al centro, lanzaba esa verga al agua y bueno, se convert… https://t.co/IS09NCBrKa",56,3,59
1315825633876901889,"Y bueno por 300 años distintos onvres trataron de encontrar no solo la ciudad EL DORADO, sino que quisieron encontr… https://t.co/8eK4a5Ep7e",57,4,61
1315826174564630534,"Y ya, esa fue la historia del Dorado ✨ Recuerden niñitas, no todo lo que brilla es oro, a veces es un hombre lleno… https://t.co/aAuDmBNLwq",123,8,131
