Tweet ID,Text,Likes,Retweets,Total Interactions
1312742881808003073,"Se me callan ✨ porque hoy voy a contarles la historia del primer trabajador freelance de la historia, exacto, adivi… https://t.co/waO9BKzRdo",1405,382,1787
1312742919514750979,"Bueno, esta historia es súper vieja ok, y muchos de los autores que ya les he mencionado tienen una versión, pero l… https://t.co/WVL0powbe2",100,11,111
1312742933322489857,"Obviamente ese vitral se escoñetó todo y ya no existe pero esa pintura de arriba más o menos es un remake, pero de… https://t.co/3brCkVwwVX",79,6,85
1312742952909697024,"Ajá voy, érase una vez en un pequeño pueblito de Alemania llamado Hamelin, estaban vueltos locos con una invasión d… https://t.co/oo2TItKAMc",193,11,204
1312742986812456960,"En este peo llega al pueblo un hombre que describen que vestía ropas muy llamativas de muchos colores, que ahora co… https://t.co/88YO391lKi",197,7,204
1312743008048230401,"Bueno el freelancer de Hamelin llega al pueblo y ofrece sus servicios de exterminador de ratas, todo el pueblo está… https://t.co/1purhFqMdH",90,5,95
1312743026360549376,"Entonces chevere el Freelancer de Hamelin sacó su smartphone, QUEDIGO, su flauta y empezó a tocar “Vamos negro pa’… https://t.co/8l4kV7HT1L",137,7,144
1312743039555821568,Y bueno nada las ratas empezaron a salir de todas partes para unirse a la conga. https://t.co/SFhW1WOwoL,108,6,114
1312743060376256512,Y el freelancer de Hamelin lideró la pachanga fuera del pueblo hasta que llegó a un río y todas las ratas rumberas… https://t.co/9fBjLs9fjO,97,6,103
1312743092785643520,Después de esto el freelancer lógicamente regresó al pueblo como “ajá páguenme.” y el alcalde que era un agarrado m… https://t.co/DvjVscP606,145,9,154
1312743115535585281,"El freelancer agarró una arrechera fuera de este mundo  pero dijo chevere, los voy a agarrar en la bajaita, y se fu… https://t.co/jCnUYfHOLn",103,5,108
1312743135152353280,"Luego el día De San Pablo y San Juan que todos los adultos estaban en la iglesia, el flautista de Hamelin llegó con… https://t.co/j8t0p9QXzb",149,5,154
1312743164617338880,"Y los niños salieron de sus casas coreando “JUANA, JUANA, PÉLAME LA BANANA” libres porque sus papás estaban en la i… https://t.co/KNh5G2dMkb",105,4,109
1312743543694389248,Y el freelancer los guió con el ritmo hasta unas cuevas donde los encerró a todos y gritó “POR MAMAWEBOS” y no vier… https://t.co/drdshft0TC,121,6,127
1312743564850405376,En las versiones de los hermanos Grimm por ejemplo suavizan un poco la cosa diciendo que después que los niños desa… https://t.co/SuWtYW19lq,92,5,97
1312743578016378881,Ok. ¿Se acuerdan del vitral? Bueno. En este pueblito hay una escritura que dice “En el año 1284 en el día de Juan y… https://t.co/AUIvh6GYzL,95,5,100
1312743594915180544,En ese entonces no existía https://t.co/hadEUfYSNO para uno enterarse de las cosas así que hay muchas teorías de lo… https://t.co/KgYuKwVK3Q,111,5,116
1312743626712272896,"La segunda es que el flautista de Hamelin en verdad era un reclutador para una guerra de la que nadie regresó :(, y… https://t.co/mfTl8Vl2HU",127,5,132
1312743655309017088,"Y ya, esa fue la historia del flautista de Hamelin y recuerden niñitas y niñitos su trabajo cualquiera que sea VALE… https://t.co/9qXqBhkyD1",225,14,239
