Tweet ID,Text,Likes,Retweets,Total Interactions
1320524321492733954,Se me callan. Porque vengo a complacer a mi gente de twitter +30 y atiborrarlos de gifs. Hoy les traigo la historia… https://t.co/nmZMOPDaLD,1018,238,1256
1320524355177222150,"Esta historia también tiene remixes de los hermanos Grimm, de Perrault, de Basile, de la tigresa del oriente, de to… https://t.co/ta1V3CpGdA",101,3,104
1320524385938264065,Bueno. Érase una vez un pobre molinero que al morir la única herencia que pudo dejarle a sus tres hijos fue: Un mol… https://t.co/ooRStAYlQf,73,3,76
1320524409480876039,"Al final, al hijo mayor a.k.a: El favorito ✨ le dejó el molino, al hijo del medio le dejó el burro y al menor a.k.a… https://t.co/MCzrUi0Sp8",106,3,109
1320524424462913537,"Pero el gato (que era como todos los gatos: un delincuente) le dijo: “Tranquilo mi amo, usted solo deme una bolsa y… https://t.co/4pQFiB6Kw9",144,4,148
1320524445497307136,"Pero bueno nada, el tipo le dio lo que pidió al gato porque qué carajo? El quería hacerse millonario ya. Y así  el… https://t.co/gLiO7zjbE4",114,4,118
1320524464312979456,Luego metió que si lechuga y tarjetas de crédito en la bolsa y se hizo el muerto a esperar que algún conejo ( liter… https://t.co/EkmEvrvk4g,76,3,79
1320524495636058112,Exacto. Dejarle esa vaina a alguien en la puerta de su casa. Y el gato con botas decidió llevar el conejo muerto al… https://t.co/OkELZ3icqo,100,3,103
1320524514300710912,El rey estuvo muy complacido por el regalo y lo invitó a cenar en el palacio. Todos los días por 3 meses el gato tu… https://t.co/TRTGXVOMPe,101,3,104
1320524530486575106,En ese peo entre cenita y cenita el gato con botas paró las orejas y escuchó que el rey iba a dar un paseo al día s… https://t.co/qeISFCTMzl,85,3,88
1320524544495525889,"Entonces se fue, (rodando me imagino porque después de cenar todas las noches en el palacio, ustedes me dirán) a la… https://t.co/LnqGh6Ad2z",130,3,133
1320524560668758016,El plan consistía en que el dueño del gato con botas se metiera en el río como Mercedes y esperara instrucciones. M… https://t.co/AFDPxJXYl6,98,3,101
1320524577693466629,"Y empezó a gritar como un loco “AY DIOS MÍO QUE ALGUIEN ME AYUDE, AUXILIO, AVE MARÍA PURÍSIMA MI AMO EL MARQUÉS DE… https://t.co/VM8xD630dC",88,4,92
1320524603618398209,Inmediatamente el rey ordenó a sus guardias que sacaran al “Marqués” del río. Mientras hacían eso el gato se acercó… https://t.co/L9pIdyAFiW,88,3,91
1320524622954221568,Así que el rey ordenó a su maestro de vestuarios que le escogiera el traje más hermoso al Marqués. Y acaso tenía un… https://t.co/TRuKETvOv7,115,4,119
1320524652867964929,Pero bueno le dieron un traje súper fino al “Marques” y según el cuento y cito: “El rey le puso mucha atención al j… https://t.co/AE7pnCAJcr,154,3,157
1320524709759492096,La hija obviamente cuando lo vio se enamoró como se enamora toda la gente en los cuentos de hadas: A primera vista.… https://t.co/Rd1A0E5p5u,95,3,98
1320524749940903936,Pero no nos olvidemos de nuestro protagonista ok? Porque el ya se había ido para literalmente “picar alante” como q… https://t.co/Abkbl09mUy,72,4,76
1320524782614515718,MIREN MAMAGÜEVOS SI USTEDES NO DICEN QUE ESTAS TIERRAS SON DEL MARQUÉS DE CARABÁS LOS VOY A DEJAR COMO CARNE PARA S… https://t.co/WiiG8LWyCQ,117,6,123
1320524801841254401,"El rey estaba muy complacido con las supuestas tierras del marqués, mientras  el gato con botas iba amenazando aque… https://t.co/y23BI2Jk8q",94,4,98
1320524822649200641,"El gato pidió hablar con el ogro y cuando estuvo con el le dijo: “Ha sido de mi conocimiento recientemente, señor o… https://t.co/zM8AR0vsug",86,3,89
1320524854509142021,"Y el ogro en vez de decir: “no tengo nada que probarte, vete.” Su masculinidad tóxica se lo impidió y le dijo: CLAR… https://t.co/Axj9OHSYi7",104,3,107
1320524876587929600,"Y el gato le dijo algo como “cuñuu que depinga, pero también te puedes transformar en animales pequeños? Naaah yo n… https://t.co/1RSZvnnRLw",152,4,156
1320524898524110848,"Mientras, la carroza real estaba llegando al castillo y el gato con botas los recibió en la entrada y que: BUENAS B… https://t.co/Jgkc7Bw7BZ",94,3,97
1320524915481759744,Y ahí mismo el “Marqués”le pidió matrimonio a la princesa y el rey aceptó porque estaba más enamorado de él que la… https://t.co/yBUjhDdNdU,113,3,116
1320525689393733634,"Y bueno nada, Así fue como el gato con botas logró expropiarle un castillo y toda una herencia a su amo, pero nada… https://t.co/OAIdvyyVKQ",207,5,212
