Tweet ID,Text,Likes,Retweets,Total Interactions
1322712329159643137,Bueno. Se me callan 👻 que hoy voy a salirme un poco de la programación regular de aterrorizarlos con cuentos de had… https://t.co/CtiglNC6Or,628,118,746
1322712537553653761,"Y antes que vengan a decirme: “piri bilin, disni ni tini piliquili di isi” Si. Si tiene, se llama the adventures of… https://t.co/gFdZFMIpxd",105,3,108
1322712742210449410,"Bueno. Como ya dije, esta es una de las primeras leyendas de Halloween de la cultura americana. Lo escribió este se… https://t.co/7aEjnL8Hr1",123,2,125
1322712851983802374,"Pero ojo, no crean que porque el señor Washington haya escrito la leyenda del jinete sin cabeza eso significa que i… https://t.co/4Vkv85Ajzo",81,4,85
1322713078325256192,Y como esa hay muchas historias de la Edad Media con gente sin cabeza. Lo cual tiene sentido porque esa gente se la… https://t.co/ZcSiQcuSpm,111,3,114
1322713251537444865,"Pero bueno, volviendo al jinete sin cabeza. La historia de Chris está basada en el año 1790 en Terrytown, New York.… https://t.co/A0T0z3nwdH",78,2,80
1322713391203581952,"Si ustedes sacan sus cuentas en 1790 Estados Unidos acababa de lograr su independencia, y como ustedes saben, la ma… https://t.co/Dc8QCR4qif",76,2,78
1322713605909975041,"Por todo esto de la guerra y el montón de gente muerta ( ademas del hecho de no tener electricidad, obvio. 🕯) la ge… https://t.co/OpsEidXZDn",73,2,75
1322713794422968320,"Y la historia más famosa de este pueblo es la de un soldado alemán, que en alguna batalla en Sleepy Hollow un cañón… https://t.co/uHkYR5gqsC",72,2,74
1322713969258307584,"Entonces según la leyenda, cada noche del día de brujas. El soldado enfurecido vuelve a sleepy hollow en un caballo… https://t.co/sznQcOzcH6",81,3,84
1322715257358483464,"Bueno la historia del jinete sin cabeza empieza con la llegada del nuevo maestro de escuela Sleepy Hollow, Ichabod… https://t.co/GvFvkPbAG0",92,6,98
1322715437529006080,"En Sleepy Hollow Ichabod conoce a Katrina cori Van Tassel Smith, que no solo era hermosa sino que era la única hija… https://t.co/xCPFnoIR6C",67,2,69
1322715663618682880,"Y la competencia más grande que tenía Ichabod contra la fortuna ehem, que digo, el corazón de Cori era Abraham Van… https://t.co/2zta7VdVZl",106,2,108
1322716001134383106,Con estos dos se prendió esa echadera de perros para Katrina Cori Van Tassel Smith. Y a pesar de lo feo feo feo cuñ… https://t.co/aIiDM1TTOq,80,2,82
1322716187344670720,"Así que cuando Brom se enteró de lo cagado y supersticioso que era el maestro, se dedicó a hacerle la vida una mier… https://t.co/AfSUMpLDP6",56,2,58
1322716434921857025,"Bueno estuvieron en ese peo no sé, meses? Hasta que en otoño la familia de Katrina decidió dar una fiesta en su hac… https://t.co/zGmF5YyY6d",102,2,104
1322716672831139840,Bueno Icharod llegó a la fiesta con un Optra prestado y realmente la estaba pasando súper bien. Bailó reggeaton vie… https://t.co/1luEopFBGF,80,2,82
1322716805815783425,"Esa noche Ichabod tenía la intención de pedirle matrimonio a Katrina pero después de las historias, se cagó pues. A… https://t.co/WoldDBXy6b",58,2,60
1322717029019824129,Y mientras Ichabod iba regresando por el bosque le pasó lo mismo que nos pasa a todos cuando vamos a buscar agua a… https://t.co/HpzGmSp0TQ,89,2,91
1322717253431943168,Entonces Ichabod iba todo cagado pensando en el jinete sin cabeza y trataba de calmarse pensando tipo “jaja tu si e… https://t.co/FOLraucklV,73,2,75
1322717628876627968,HASTA QUE SE DIO CUENTA QUE EL JINETE NO TENÍA CABEZA 🤡🤡🤡🤡🤡 y nojoda así empieza una persecución y una picadera de… https://t.co/wuYOZVLtCq,87,2,89
1322717872485994496,"Ichabod logró cruzar el puente pero para su horror, el jinete agarró su auyama en candela y se la lanzó directo a s… https://t.co/8Kok1SURSj",59,2,61
1322718655952670720,A la mañana siguiente lo único que encontraron de Ichabod fue su sombrero. La historia queda abierta a la interpret… https://t.co/7WAOSeIXTx,72,2,74
1322719252965658625,"Pero bueno ya, esa fue la historia del jinete sin cabeza y sé que esto es un weird flex, pero leí que esta historia… https://t.co/xQ69JWKYY8",122,4,126
