Tweet ID,Text,Likes,Retweets,Total Interactions
1317998387136966660,"Se me callan porque vuelvo con el primer cuento pro-vida de la historia, un clásico del dúo de la historia, los ext… https://t.co/qkTNH4AsAU",1125,293,1418
1317998405663248385,"Bueno, ya lo dije: esto es un clásico de los Hermanos Grimm, como la Caperucita Roja y el gallo pelón. Pero como le… https://t.co/qtePeTlryn",127,7,134
1318004986668867585,"Bueno, el Hilo se me jodio muchachos. Tengo todo este tiempo tratando de enviarlo y sencillamente no se envía. Téng… https://t.co/kQ9UzuNuQI",68,2,70
1318005167518777349,Ese tweet si lo subes verdad coñoetumadre. @Twitter ?? Xs. Sigo en el siguiente. Perdón.,152,2,154
1318005297890328578,"Este cuento del folklore tiene un background histórico horrible, HORRIBLE. Resulta que entre los años 1314 y 1322 e… https://t.co/as0xbiBvEK",108,7,115
1318005694281416706,"O “The great famine” para los que no sepan español. Con esta hambruna murió una cantidad demasiado grande de gente,… https://t.co/obduhojj1V",99,4,103
1318006204912799747,"Y cosas HORRENDAS como que los padres abandonaban a sus hijos y (perdónenme pero si yo voy a tener pesadillas, uste… https://t.co/kkOrDzRscT",83,4,87
1318006636284465152,"Bueno, en fin. De esta era terrorífica surgieron muchísimas historias que se ubican en este tiempo, entre ellas: Ha… https://t.co/060cuUFm4D",109,4,113
1318007047829467142,"Ok, esos fueron los orígenes. Salimos de eso, vamos con el cuento. https://t.co/oZu9YxOzwc",61,4,65
1318007509857275904,Ajá. Érase una vez un par de hermanitos  que vivían en un bosque de Alemania con su papá leñador y su madrastra. (e… https://t.co/LtnBgAF9uP,77,6,83
1318008374945062914,"Llegó la época de la gran hambruna y la vaina se puso jodía. Y bueno, Hansel y Gretel eran unos niños que comían co… https://t.co/QtsBaZT4gl",149,6,155
1318008913296580608,Hasta que la mamádrastra se hartó y dijo “NO PANA YA BASTA” y le dijo al papá de los niños básicamente que tenían q… https://t.co/DRx6LxOtha,81,6,87
1318009818850955264,El papá de Hansel y Gretel en verdad no estaba muy convencido de abandonarlos pero se dejó convencer por la tóxica… https://t.co/0u4f5hNZit,87,7,94
1318010315737530368,Entonces medio hecho el webón dijo como “ay ya vengo voy al patio para agarrar fresquito” y agarró un coñazo de pie… https://t.co/uncQMJUPRA,82,5,87
1318010869050187776,Al día siguiente cuando el leñador y su esposa les dijeron: “vengan niñitos vamos a dar un paseíto por el bosque je… https://t.co/8xVQivpAWB,81,5,86
1318011421968506881,"Pero la mamádrastra no contaba con la astucia de Hansel, y mientras los estaban perdiendo bien perdidos en el bosqu… https://t.co/1blpoVO2rP",168,5,173
1318012239731937281,"Cuando llegaron al lugar donde Amber Heard perdió las chancletas, les dijeron a los niños “miren quédense aquí un m… https://t.co/dhUXAxRxHr",109,5,114
1318012831543984131,"Gretel se puso a llorar pero Hansel le dijo “tranquila mana, todo va a estar bien” y siguieron el caminito de piedr… https://t.co/FmqaJPF8CG",152,11,163
1318013433128898560,"Al día siguiente la madrastra después de ver en la nevera que le comieron su queso ricotta, volvió con el peo de de… https://t.co/FtEJ9ye9Rx",81,5,86
1318014050534641665,A la mañana siguiente le dieron un pan canilla a cada uno y salieron con su padre por el bosque con otro cuento. Ig… https://t.co/ou4Qey0WvP,80,5,85
1318014608683261954,"Bueno, al final cuando estaban  bien bien perdidos en el bosque, muy a su pesar, el leñador abandona a sus hijos. Y… https://t.co/ewBhvmvB3L",97,5,102
1318015170124402694,"Pero igual tenían que hacer el intento de regresar, o sea ¿qué opción tenían? Y caminaron por el bosque hasta que e… https://t.co/DSVem288BX",166,8,174
1318015683951812608,"¿Y que hemos aprendido de los personajes de cuentos de hadas hasta ahora?: 

1.Tienen cero respeto por la propiedad… https://t.co/txq34AuKYV",183,13,196
1318016090656694272,"Mientras estaban atiborrándose de los muros de pastelitos, apareció la dueña de la casa que resultó ser una viejita… https://t.co/1wdxAgCkfE",103,4,107
1318018906129301504,"Ok, todos sabemos que esta señora súper linda en verdad era una bruja. Pero en defensa de Hansel y Gretel, esta bru… https://t.co/67dxnbulf7",111,6,117
1318019417385684992,"Disclaimer: ok, la misión de la mayoría de las abuelas no es comerse a los niños. Y ahí radica la diferencia entre… https://t.co/nqxQCFZnx8",84,3,87
1318019918378508288,"Eventualmente la bruja se quitó la careta como quien dice, y decidió que se iba a comer a Hansel, así que lo encerr… https://t.co/GlOutEhN8a",84,5,89
1318021044591099904,La bruja tuvo mucho tiempo a Hansel y Gretel mientras los engordaba para Diciembre. Y todos los días trataba de com… https://t.co/RwAJvUlktV,66,3,69
1318022091606810624,"Hasta que llegó diciembre y la bruja pensó “¿Sabes qué? Me sabe a mierda, me los como a los dos” Así que le dijo a… https://t.co/7sUX6xc2HM",83,4,87
1318023196873019392,"Y a Gretel, que había nacido con todos sus cromosomas esto le pareció demasiado sospechoso (porque obviamente la br… https://t.co/4VsbhTPPQc",99,5,104
1318024763114127360,La bruja perdió la paciencia y  le dijo como “verga así chica nunca entiendes nada” y metió ella cabeza en el horno… https://t.co/oimyxIG7YY,117,8,125
1318025329785667584,"Finalmente Gretel libera a Hansel y juntos desvalijan la casa de la bruja que al parecer era millonaria, porque se… https://t.co/F4qf2Qqs89",66,3,69
1318026380022550528,"Y gracias a la magia de los cuentos de hadas, Hansel y Gretel consiguen su casa en el bosque donde se encuentran co… https://t.co/LIOBjin5fc",91,4,95
1318027490644865025,"Y ya, esa fue la historia de Hansel y Gretel. Gracias por la paciencia con mis dificultades técnicas. Y no sé cómo… https://t.co/fnTLyNz0T7",129,8,137
