Tweet ID,Text,Likes,Retweets,Total Interactions
1269744949853028354,Se me callan porque no tengo televisión ni internet; así que a petición del pueblo ¹ les vengo a contar la verdader… https://t.co/L8G6uq2rXx,1196,392,1588
1269744962062749697,"La historia súper linda de Disney que conocemos con la princesa Aurora, maléfica y las hadas tias de whatsapp, está… https://t.co/0HnhRSSiLY",164,10,174
1269744965250318336,"Hay que aclarar que este cuento  incluso para el momento que fue escrito, era bastante grotesco así que fue version… https://t.co/Uq9pNvwZWJ",134,7,141
1269747394406567936,"Nuestra historia comienza en un reino muy lejano donde un Rey y una Reina después de mucho tiempo de infertilidad,… https://t.co/SjOYhjswmj",120,6,126
1269748748508450818,PEDIRLE UNA PREDICCIÓN DE SU FUTURO A LOS SABIOS. Los sabios le dijeron que su princesa corría un grave peligro de… https://t.co/hh66LHBkR7,262,8,270
1269751139458834433,"Esta primera parte de la historia es bastante parecida a la de Disney,  como ya saben la caraja se mete una rumba e… https://t.co/vLKigflWHI",178,6,184
1269751156189822981,"Los padres de Talía, desconsolados, no pueden permitirse la idea de enterrarla. Así que la maquillan, la visten, la… https://t.co/epx062quIB",134,7,141
1269756430707503111,Pasan 100 años y la princesa continúa dormida en el castillo abandonado sin que nadie la perturbe. Hasta que un día… https://t.co/fcjtN0AjUw,153,6,159
1269756458993881088,"Encuentra a la hermosa Talía durmiendo profundamente, aquel hombre se puso como Yeison de Guasdualito y empezó a tr… https://t.co/LF8aCARusw",148,6,154
1269757714600771588,"De este evento, Talía queda embarazada y 9 meses después da a luz a gemelos 🙃🔥todo esto mientras está dormida. Cuan… https://t.co/0yUrofP9Yz",274,10,284
1269759248868806656,"Los gemelos nacen y son un niño y una niña, llamados sol y luna porque seguro se copiaron de nuestra Sascha, la gen… https://t.co/O8sjwbFVWk",191,10,201
1269761475087908864,"Bueno Talía se despierta, como de la peor pea de su vida después de 100 años y madre de gemelos. Por otro lado el R… https://t.co/ZiUabyrYXL",223,9,232
1269763181196517376,"El maldito llega al castillo otra vez como Yeison y se encuentra a Talía con sus dos hijos (incomodo), Pero el cara… https://t.co/GhoYbvtTz1",163,7,170
1269765789109936130,"Y así paso un tiempo, el carajo con su esposa en el reino durante la semana y con Talía y los morochos los fines de… https://t.co/TwWPjyCmu3",149,7,156
1269767322488778752,Bueno la caraja en vez de maletear al marido la agarra contra la otra y manda a un sicario a que le traigan al cast… https://t.co/brTJMEXhQ6,126,8,134
1269769718258380801,Esa noche la Reina le sirve al rey dos pasteles de carne y le dice “te estás comiendo lo que es tuyo”  y el rey com… https://t.co/51NHb0OwRe,139,9,148
1269771295140515840,"Luego La Soraya se dirige a encargarse de Talía, para esto ella prepara una hoguera ( o una caldera hirviendo con s… https://t.co/gkYRdMgeFp",119,6,125
1269772575237947395,La Soraya se queda como ??? Y Talía le dice “si es que no quiero que se me dañe el vestido que compre en Zara” y So… https://t.co/UJNJLVzHVi,172,7,179
1269774135758065664,Con esa gritadera el rey escuchó y entró al cuarto de la hoguera/caldera a ver que era lo que estaba pasando. El ma… https://t.co/6tlI3vq2iX,173,11,184
1269775542267662339,"Pero ahí entró el cocinero y le dice “pues no mi reina, a mi me dio mucha cosita matar a esos pelaos y les puse car… https://t.co/3BwoqlZ3Ar",188,7,195
1269776857391652865,"Y así Talía, sol, luna y el rey violador viven felices para siempre (???) https://t.co/UNQzcgWNCo",188,7,195
1269776870142328835,Bueno ese fue el final de nuestra historia y recuerden amiguitos si la princesa (cállate Chyno) no puede decir que… https://t.co/WSR9GNI2u9,307,18,325
1269777501724782598,Pd: perdónenme por tener que esperar por la historia pero lo mandé sin querer como una estupidA antes de terminarlo… https://t.co/wEW9wQCblc,226,8,234
