Tweet ID,Text,Likes,Retweets,Total Interactions
1272284245931720704,Se me callan porque hoy vengo a contarles la verdadera historia de la primera arrocera: Cenicienta. Les aviso que e… https://t.co/XgM8vTsKs7,4269,1508,5777
1272284264940396545,"La adaptación de Disney se le atribuye generalmente al cuento del siglo 17 del autor francés Charles Perrault, pero… https://t.co/X2YOfHjng0",242,15,257
1272284278701907969,"CHINA *lanza papelillos y lumpias* así es, la cenicienta original es un cuento chino del siglo 9 llamado Ye-Xian o… https://t.co/bS7cKgoIZl",398,24,422
1272284294975762434,Pies de loto se refiere a la antigua práctica china de vendarles y deformarle los pies a las mujeres desde niñas pa… https://t.co/4BwsaePOej,257,14,271
1272284305423847426,"Nuestra historia comienza en una pequeña aldea china, donde una norma social era que a cada jefe de familia se le p… https://t.co/uy6bdkXuFH",357,12,369
1272284316240920576,"Así el padre de Ye-Xian vivía con sus dos mujeres metidas en la misma casa, la madre de Ye-Xian y la madre de su he… https://t.co/vlqotPLsNY",219,11,230
1272284365918285824,"Luego al poco tiempo también  murió su padre de un extraño virus (No, no ese virus, no lo digan.) De esta forma la… https://t.co/5WHQyrYrFL",285,9,294
1272284391981621251,"La vida de Ye-Xian con su madrastra y su hermanastra se parece bastante a la película de Disney, donde la tenían de… https://t.co/tAx6n8lL9N",233,8,241
1272284476375207946,Bueno como en la aldea tampoco llegaba el servicio del vital líquido de Hidrocapital Ye-Xian tenía que caminar hora… https://t.co/MlKXXkzng7,476,20,496
1272284493399969792,En este pozo Ye-Xian hace su primer y único amigo. Un pez gigante de estos con bigotes que hay en los restaurantes… https://t.co/6sPuPkK5jI,298,10,308
1272284505743687681,Un día Jun-Li que era una envidiosa y odiaba a Ye-Xian la siguió hasta el pozo y al ver que su hermana tenía 3 minu… https://t.co/r7gWru1CjT,522,15,537
1272284531580719105,"La madre de Jun-Li, que era una alcahueta, se vistió con los harapos de Ye-Xian y fue hasta el pozo donde mató al p… https://t.co/FVSaRLzBiP",216,8,224
1272284543622545408,"Ye-Xian estaba muy triste por la muerte de su amigo, pero esa noche el espíritu de una anciana  se le apareció y le… https://t.co/RyvvqxjSTb",214,7,221
1272284557795082243,"Y yo no sé ustedes, pero si se me apareciera el espíritu de una vieja a decirme que haga algo, lo haría sin hacer m… https://t.co/FrgF12Yd2T",227,8,235
1272284572567379969,"Alrededor del mismo tiempo, se celebraría un gran baile del fin de año donde era costumbre que las muchachas fueran… https://t.co/64uoL7HSNm",286,12,298
1272284587234902017,"Esa noche Ye-Xian recuerda las palabras del espíritu de la vieja, y en vez de desear con todo su corazón no sé, emi… https://t.co/wdF9dBIzxR",753,40,793
1272284602632228864,Inmediatamente los harapos de Ye-Xian se convirtieron en un hermoso vestido de seda verde y unas zapatillas doradas… https://t.co/85omWbIgc1,299,11,310
1272284617396060160,"La Ye-Xian llega al baile y todos quedan locos con su belleza, pero al igual que en la película el hechizo tenía ho… https://t.co/M5efDZCsJj",396,16,412
1272284631900073986,Aquí como seguramente se acuerdan de la adaptación de Disney al día siguiente el principe Budú encuentra la zapatil… https://t.co/o0FhLwWams,392,12,404
1272284643639820301,"Cuando el principe Budú llega a la casa de Ye-Xian, la madrastra le dice que se quede en su habitación y luego hace… https://t.co/kAhX2LG1YF",192,7,199
1272284659381141504,"Cuando Jun-Li logra entrar en las zapatillas con los pies todos mochos Budú le dice: “Siempre supe que eras tú, cás… https://t.co/k2hCwkjeQQ",236,6,242
1272284673348116487,"Cuando Budú vuelve a regresar a la hermana tiene la AUDACIA, de preguntar si por casualidad no tenía otra hija, y e… https://t.co/vY9xQgCHLk",309,8,317
1272284688787345408,"Cuando Ye-Xian le cuenta a Budú todo lo que vivió con su madrastra y su hermana, Budú las condena a muerte y las me… https://t.co/uHS7WPaKcw",315,13,328
1272284701949071360,"Y recuerden niñitas la raza de un personaje ficticio no puede arruinarles la infancia, especialmente si tienen casi… https://t.co/61T4bkQGzs",690,45,735
