Tweet ID,Text,Likes,Retweets,Total Interactions
1287470792511574016,Se me callan porque en honor a la Lunita de nuestra @SaschaFitness voy a echarles el verdadero cuento de Moana o má… https://t.co/3INLRfiUZi,990,188,1178
1287470814804271104,"Bueno la película favorita de Lunita se estrenó en el año 2016, pero Disney no quería cometer los mismos errores qu… https://t.co/Dx0D9rzmHn",99,3,102
1287470830511890434,Entonces los creadores de la película pasaron 5 AÑOS viajando a todas las islas Polinesias para empaparse de la cul… https://t.co/MxDkFokdcK,127,2,129
1287470856336297985,"Ajá en sus “Viajes de trabajo” a estos paraísos naturales, aprendieron que los Maorís eran una civilización demasia… https://t.co/RU4Mk5CuhN",114,5,119
1287470871209279494,"O sea, para ponerlos en una línea temporal esto fue hace 3.500 años, gente; Antes de la era del hierro antes de los… https://t.co/uiblMKgXUl",124,4,128
1287470892260438021,Luego de colonizar esas islas inexplicablemente dejaron de navegar por un periodo de casi dos mil años que se llama… https://t.co/cU4e6kT9A8,117,4,121
1287470913529798657,"Aquí Disney se permitió una licencia creativa, en mi opinión muy linda, que fue la de ubicar a nuestra heroína Moan… https://t.co/abzRhSOkXW",120,6,126
1287470931137499136,A pesar de los 5 años tratando de entender la cultura se perdieron un poco esos ríales porque igual decidieron darl… https://t.co/Djp6S3b0MW,89,4,93
1287470941224697858,O sea lo hicieron todo gordo y medio gafo y para completar hicieron que la gente de la isla de Moana estuviese obse… https://t.co/TkHh4fFegk,68,3,71
1287470957171486723,"Equis, Moana es básicamente un guión original que contiene varios elementos de todas las islas Polinesias, entonces… https://t.co/m8EEuSD1cD",82,4,86
1287470986506510336,"Bueno, el señor Maui es un héroe mítico Maorí, y su leyenda es usada para explicar un poco la creación de muchos el… https://t.co/dVnZSGLynQ",128,5,133
1287471016558682112,"En la Polinesia, todos los dioses tienen como su contraparte, el ying de su yang para representar el equilibrio del… https://t.co/ZeCuS4cdNI",85,4,89
1287471029426819074,La leyenda de Maui está más o menos explicada toda en la canción “You’re Welcome” que escribió nuestro @Lin_Manuel… https://t.co/GIQ6PHf2m8,80,6,86
1287471056043810816,"como en la peli, Maui tenía un anzuelo mágico que usaba para cualquier otra vaina menos para pescar. Y un día su fa… https://t.co/i8a4SgOmes",125,4,129
1287471071478927362,Así que Maui se quedó como “Mierda wn como voy a bajar a los Caracas” y ahí decidió que si Maui no podía ir a la pl… https://t.co/PmqV22JTTI,74,4,78
1287471087228456960,"El anzuelo se clavó en el fondo marino y Maui engañó a sus hermanos diciéndoles “Mierda chamo, pesqué que si una ba… https://t.co/aE8H0N71MR",74,4,78
1287471104936771586,Luego un día la mamá de Maui estaba toda arrecha porque el sol duraba muy poco en el cielo y coñodelamadre la ropa… https://t.co/n3VPvAmfUf,107,4,111
1287471121550450692,Otro día Maui se dio cuenta que la gente casi que tenía que caminar agachada porque el cielo estaba demasiado bajit… https://t.co/NhooaBv0tA,92,4,96
1287471140731052032,Bueno paso el tiempo y a Maui empezó a darle curiosidad como era la vida en ese poco de islas que sacó del fondo de… https://t.co/RGn3GWqsta,96,5,101
1287471160041574400,"Ahí se dio cuenta que las islas eran inhabitables porque habían plagas, virus y animales hostiles ( acuérdense que… https://t.co/GMx9XidfPm",78,4,82
1287471170833600512,Uno de los monstruos que aterrorizaban la isla era una anguila gigante y asquerosa que yo me la imagino como la ang… https://t.co/cJAtP5Ic0e,87,4,91
1287471185849131008,"En las islas Maui conoce a la chamyta Hina, el muchacho se enseria, se enamoran, le monto una choza con direcTV y v… https://t.co/7a4qRnvvA6",86,4,90
1287471205159776257,"Y esa es (más o menos) la leyenda de Maui. Y recuerden niñitos, si bien algo no es irrespetuoso  para ti, no signif… https://t.co/xDCjEHntKL",257,9,266
