Tweet ID,Text,Likes,Retweets,Total Interactions
1284708752504115206,Se me callan porque antes de que vengan a grafitearme la casa voy a contarles la historia original de la primera mu… https://t.co/TCzPxtun1a,2024,542,2566
1284708781570568193,"Si naciste en los 90’s probablemente está sea una de tus películas favoritas, y en algún momento cuando el coronavi… https://t.co/vHHIBhf4zA",285,21,306
1284708793423663104,"Disclaimer: la razón por la cual no aparecerá, es porque para la cultura china los dragones son criaturas sumamente… https://t.co/DiSTXGFbu9",234,20,254
1284708803682983936,"Ajá, bueno la adaptación de Disney está basada en una canto del siglo V que se llamaba “La balada de Mulán” y en es… https://t.co/CxURnpRzIS",201,9,210
1284708818023337984,"Bueno, la historia empieza cuando un día mientras Mulán estaba lavando la ropa, bañándose y haciendo una pasta porq… https://t.co/hPGJnaBc8Y",172,9,181
1284708832548200448,"Fun fact: En Disney, Mulán era hija única pero más o menos hacen referencia a su hermanito con este perrito que se… https://t.co/K2OzkWWkwD",164,11,175
1284708846536216577,"Como en la película de Disney, la caraja sencillamente no iba a permitir que su papá ni su hermanito fueran a la gu… https://t.co/mzT0RU0FaI",168,10,178
1284708860419354624,"Así que la cosa no fue como la puso Disney que huyó y vaina porque: “drama"" Más bien su mamá le hizo unas arepitas… https://t.co/WBG9ATegvq",220,12,232
1284708873425883137,"Mulán se va al ejército, y aunque Disney te resuma todo ese tiempo en los tres minutos que dura la canción “Hombres… https://t.co/xHQBQMjTqe",370,24,394
1284708890404368384,"Según la leyenda, Mulán fue capturada y tomada como prisionera por el rey enemigo, pero cuando la hija del rey la i… https://t.co/8R6CvZYMjL",288,17,305
1284708902697873409,"Eventualmente a este rey lo joden y lo condenan a morir, Mulán le ofrece al emperador su propia vida a cambio de la… https://t.co/ucX6RGhBaE",133,8,141
1284708913816928257,"En fin, Mulán rechaza todos los honores y solo le pide al emperador un Ford Fiesta para regresar a su casa, cuando… https://t.co/3Ty1tubrWf",189,10,199
1284708928035737601,Epa epa yo sé que la cosa pinta bien hasta ahora pero no se emocionen que todos los cuentos de hadas son como el 20… https://t.co/clTUggr8rX,161,9,170
1284708938483728386,"Bueno, cuando Mulán llega a su pueblo después de tantos años, se entera que su papá murió 😔 que su mamá se volvió a… https://t.co/MAeLNcJvy8",162,9,171
1284708950181646336,Como comprenderán esto fue un golpe muy arrecho para Mulán porque se dio cuenta que todo su sacrificio de fingir qu… https://t.co/uvfmjOLHV0,207,8,215
1284708969999630338,"Y bueno, nada :( Así termina la corta historia de Mulán, esperemos que el live-action tenga un final más bonito. Y… https://t.co/348JMtdG13",452,28,480
