Tweet ID,Text,Likes,Retweets,Total Interactions
1292794623426002944,Se me callan porque llegó la que  te escoñeta (la infancia) así que súbanse al Encava porque voy saliendo directo a… https://t.co/gAQlwCeq4F,2370,645,3015
1292794649938141185,"Esta historia es de este señor, que no, no era un miembro de Anakena. Era un escritor escocés que se llamaba James… https://t.co/g8cZU9XXuL",179,8,187
1292794658540724230,"Paréntesis: Antes que siga echando este cuento, tienen que saber que si algo he aprendido de estudiar las verdadera… https://t.co/dnHulVMDxT",224,18,242
1292794660302225409,"Ajá bueno, al igual que en Alicia en el Pais de las maravillas (que si no la han leído pueden verla aquí y volver,… https://t.co/SumX6F5jd8",185,20,205
1292794670364479490,"Bueno. Este señor Barrie nació en el año 1860, el tenía un hermano mayor que se llamaba David, que era básicamente… https://t.co/CRuXazinrp",120,10,130
1292794683199029252,"La madre de Barrie lógicamente nunca se recuperó psicológicamente de eso, pero siempre decía que encontraba un poqu… https://t.co/H0dE355fVu",138,10,148
1292794690992058369,"Equis, Fast Forward. A los 34 años Barrie se casa con una actriz que estaba loca por tener hijos, pero según las ma… https://t.co/3SmXfGegLG",146,8,154
1292794697828536320,"Pero mientras seguía casado, Barrie conoció a un par de niños, George y Jack Llewelyn Davies, de 4 y 5 años en los… https://t.co/LOWtiKkCMp",252,10,262
1292794708159270912,"Bueno, Barrie empezó a encontrarse a los niños frecuentemente en el parque y se hicieron amigos, nada raro jeje, to… https://t.co/Ub197AcZVa",144,8,152
1292794717084758018,"La familia Llewelyn Davies tuvo tres hijos más, Peter, Michael y Nico. Barrie o “Tío Jim” pasaba mucho tiempo con l… https://t.co/Jquf9K5dvt",113,8,121
1292794731257311238,"Aquí la realidad y la ficción empiezan a tejerse así que voy a estar brincando entre una y otra, así que ténganme p… https://t.co/qvfu59iHbF",140,7,147
1292794738437959680,La primera aparición de Peter Pan está en un libro semi-autobiográfico de J.M Barrie que se llamaba “The little whi… https://t.co/ehb9MMxTll,114,8,122
1292794746449072128,"Este libro se trataba de un carajo adulto que se inventa que se le murió un hijo, para que los padres de David, un… https://t.co/UGnFwtm1VS",124,8,132
1292794756595163136,Dentro de la historia el narrador le cuenta historias a David sobre un niño mágico que nunca crecía y vivía en los… https://t.co/AUvqIoWomU,142,9,151
1292794768922222596,"Y como la vida imita al arte, los padres de los niños Llewelyn murieron y J.M Barrie, que en ese entonces tenía 50… https://t.co/IRD2hvRU6J",148,9,157
1292794779370233858,A pesar de todas estas acciones de moral dudosa no existe ninguna evidencia real de que realmente abusara de los ni… https://t.co/CTIs7patbM,143,7,150
1292794797367926784,"Bueno ya, ahora si con la historia de Peter Pan. Como dije hace como 3 tweets la primera aparición de Peter Pan est… https://t.co/E95DOcnQ6b",111,7,118
1292794814057119748,"Según este libro, los bebés recién nacidos eran como las aves, y ustedes dirán: “bueno si, solo comen y cagan, como… https://t.co/JeHBIi55wW",166,8,174
1292794829039194116,"Entonces el bebé Peter Pan una noche mientras sus padres dormían, salió volando por la ventana porque los escuchó h… https://t.co/fX1hYbimNX",152,10,162
1292794841202667521,Bueno Baby Peter Pan se va volando a los jardines Kensington y ahí conoce a la hadita tóxica Campanita que se lo ll… https://t.co/kjjCShyNae,281,15,296
1292794856637595650,"En la tierra de nunca jamás Peter Pan tiene muchísimas aventuras, pero como es una tierra mágica, el no puede recor… https://t.co/wO59RGuTz7",145,9,154
1292794869799411712,Esto no lo explican muy bien pero bebé Peter Pan crece un poco hasta ser un niño eterno como de 11 años vestido de… https://t.co/l4iXiZ1OBq,168,8,176
1292794881509908480,Entre las habilidades que tiene Peter además de actuar sin ningún tipo de responsabilidad o consecuencias porque no… https://t.co/ukjl78ObmQ,226,17,243
1292794894252113922,"En la isla de Nunca Jamás, Peter Pan también tiene una tropa de niñitos perdidos o abandonados que tampoco quieren… https://t.co/1JL4oWAQ7j",174,7,181
1292794903148331014,"Peter Pan también tiene un archienemigo que es El Capitan Garfio, que según el “la tiene agarrada con el” pero lo q… https://t.co/gNTIsWXoWX",263,7,270
1292795098347057152,Lo que no cuenta la película de Disney es que un día a Peter Pan después de años le sale del forro regresar a su ca… https://t.co/oyLBKinyJ1,133,8,141
1292796412393074689,"¿Y que hizo? Inmediatamente trató de buscar un reemplazo para su madre, así que viendo por todas las ventanas de Lo… https://t.co/d8UaYiU3Qz",147,9,156
1292797279561224193,Y Peter Pan hizo lo que todos los personajes de cuentos de hadas y entró a la propiedad privada de los Darling sin… https://t.co/TOEwINGUCv,153,8,161
1292798656123482113,Bueno Peter Pan se los lleva a Neverland y viven las mil y un desgracia que pasan en la adaptación de Disney porque… https://t.co/Ir7Vueufyk,149,6,155
1292799807149481986,Eventualmente Wendy empieza a crecer (a todas nos pasa jeje deberían intentarlo) y se ve obligada a despedirse ante… https://t.co/aBikltejm5,155,7,162
1292800735105683456,Por otra parte muchos historiadores tienen la teoría que la isla de nunca jamás era una forma de explicar que pasab… https://t.co/gQtDbJsuPq,138,8,146
1292801641662615552,"Y bueno nada, así termina la historia del niño que nunca creció, y recuerden niñites no hay mayor libertad que la d… https://t.co/zccgRCv0VV",263,17,280
