Tweet ID,Text,Likes,Retweets,Total Interactions
1282508717909594117,"Miren se me callan que como dicen los influencers de Instagram, muchos de ustedes (4 personas en realidad) me han p… https://t.co/mFlVMEwxCZ",1993,586,2579
1282508737274683392,"La historia de Disney, que ya de por sí fue bastante traumática para mi a mis cortos no sé, 5 años de vida, wtf… https://t.co/fapdgdSK42",130,12,142
1282508755901517826,"Estas historas empezaron a publicarse con el nombre de “La storia di un burattino” en 1881, y después de 15 capítul… https://t.co/53rgdzZaRa",132,12,144
1282508765888237573,"Bueno, antes la gente no tenía tiempo para cosas como la psicología infantil así que el objetivo de Pinocho y mucha… https://t.co/XbGbXXZZIO",156,13,169
1282508780983455750,"La historia comienza en La Toscana cuando el carpintero Cereza (así se llamaba el carajo, no me pregunten) empezó a… https://t.co/O4gPOjois3",239,14,253
1282508793616752641,Obviamente el maestro Cereza se cagó e hizo lo que hice yo de pequeña con unas muñecas que me daban miedo luego de… https://t.co/YAdB127GZt,136,11,147
1282508958457044998,"Bueno Geppetto toma el regalo  y empieza a tallar un pequeño niño de madera, al que llamo Pinocchio y no había term… https://t.co/vE7sZ8L9D7",114,10,124
1282508980615557125,"Tan pronto Geppetto le talló un par de piernas el carajo le dio una patada en las canillas, y tan pronto Geppetto l… https://t.co/51ZEX61VQL",257,12,269
1282509029214957568,"Cuando Pinocho llega a la ciudad con Geppetto detrás tratando de alcanzarlo, un policía lo detiene e inmediatamente… https://t.co/g7Itr2YJyZ",90,9,99
1282509052858322944,"Sin remordimiento Pinocho regresa a la casa de Geppetto para comerse alguito, cuando llega se encuentra con Pepe Gr… https://t.co/cMlUGMKtA1",178,13,191
1282509067957698561,"Luego del asesinato, empezó a llover y como Pinocho hacía lo que le daba la gana, se fue a bañar en la lluvia porqu… https://t.co/Xy7cSnGAtU",118,9,127
1282509092230225920,"Cuando despertó no solo ya no tenía los pies mojados, YA NO TENÍA PIES 🤡. Por su parte Geppetto lo sueltan de la ca… https://t.co/6HZaehmeZz",165,10,175
1282512777496666112,"Total que Geppetto llega a su casa, con su roomie grillo estripado en la pared, la estufa prendida a toda mecha, su… https://t.co/a1nyhqhXxI",177,13,190
1282513059714674688,Pero al fin y al cabo Pinocho es su hijo así que Geppetto le hace unos pies nuevos. Pinocho se disculpa y que:  tal… https://t.co/auJilknAML,233,13,246
1282513810230837250,"A la mañana siguiente cuando Pinocho estaba en camino a la escuela, se encontró al gran teatro de marionetas y como… https://t.co/bx0bppVfhh",127,9,136
1282514246497075200,Dentro del teatro las marionetas lo reconocieron como uno de ellos y le gritaron “COMO TA LA VAINA PAISANO JEJE COÑ… https://t.co/IT2FpeZnjw,147,10,157
1282514627222556672,Pero Pinocho era muy hábil y le metió una labia toda loca a Mangiafuoco y que “No tal que yo que mi papa y verga” y… https://t.co/BPKCFOAFOZ,127,10,137
1282514921117417473,En el camino a su casa Pinocho se consigue a dos “emprendedores” un gato y un zorro que le aseguran que si va al va… https://t.co/ec9fQ9Bc4j,183,13,196
