Tweet ID,Text,Likes,Retweets,Total Interactions
1290042022644989955,"Se me callan porque ya que vamos a estar encerradas todo lo que resta del año sin poder ir a la peluquería, voy a c… https://t.co/jFViINoCBF",1575,443,2018
1290042037249613825,"Bueno, esta historia se le atribuye más que todo a los cuentos de hadas del siglo XIX de los hermanos Grimm, pero e… https://t.co/xOT8juZOQx",97,7,104
1290042048825892864,"Ya va, ¿Qué? ¿Antes a las mujeres no las trataban como humanos sino como pedazos de torta que hay que encerrar con… https://t.co/8rD0xLqifb",132,10,142
1290042086503268352,"A pesar de ser uno de los cuentos clásicos, Disney procrastinó 70 años re-lanzarla porque a diferencia de Blancanie… https://t.co/kZfBMsW7dE",87,4,91
1290042121307566080,"Ajá bueno, la historia comienza cuando un carpintero y su esposa, después de mucho tiempo queriendo tener un bebé,… https://t.co/inmKzrVuJg",83,5,88
1290042152341458950,"Durante el embarazo, a la mamá de Rapunzel le dieron muchos antojos; Pero la caraja no podía antojarse de, no sé, u… https://t.co/D7YaqYrWBk",119,8,127
1290042220515594245,Entonces el papá de Rapunzel en vez de ir donde la señora a razonar civilizadamente tipo: “Hola mi doña jeje mire s… https://t.co/pCI7N7eQy5,125,6,131
1290042230070157312,Y el bicho estuvo en ese peo como dos semanas hasta que la vieja se dio cuenta. https://t.co/RZ742zJaeZ,100,3,103
1290042244267823109,"Recuerden que antes todas las mujeres mayores eran brujas, entonces LA BRUJA, le armó aquel peo al señor y el le ex… https://t.co/tiWr31XNhi",90,4,94
1290042258163630080,"CUANDO NAZCA ESE BEBÉ ME LA ENTREGAN PARA CRIARLA COMO MÍA, OK” por joder, porque Rapunzel no tenía ningún poder re… https://t.co/ngIh7NrwwY",117,4,121
1290042270813548544,"Total que Rapunzel nació, celebraron en la clínica con una cava de whisky, se tomaron los miaos y al final se la en… https://t.co/v5byFRD1ey",110,6,116
1290042328288296960,"Entonces bueno la bruja se lleva a bebé Rapunzel, la encierra en una torre sin salida y más nunca le cortó el pelo.… https://t.co/k1fJVyEJy7",141,11,152
1290042341785366528,Rapunzel encerrada en la torre se la pasaba cantando ella sola y ¿Qué otra vaina iba a hacer? No había wifi. Así qu… https://t.co/BHY42W01aV,96,5,101
1290042357476253697,A la mañana siguiente el principe vio cómo subía la vieja a la torre y que “aaah ok ok” entonces cuando la bruja se… https://t.co/kiUuAC41NS,89,5,94
1290042372793856000,"Lógicamente Rapunzel que nunca había visto un hombre en su vida, se asustó muchísimo. Pero el carajo le metió una l… https://t.co/d2tgfmnUle",131,8,139
1290042386010083328,"Estuvieron en ese bochinche durante meses hasta que un día Rapunzel, que nunca había tenido una educación sexual, l… https://t.co/OnGr4WPzSq",110,7,117
1290042406822346752,"Y ustedes saben, que escándalo el setso premarital. Así que muy a lo Rosa de Guadalupe la bruja le cortó el cabello… https://t.co/Gshf01MOqo",87,6,93
1290042969286799360,"Por su lado, cuando el principle llegó esa noche a su dick appointment diaria, la vieja soltó la cabellera cortada… https://t.co/Bs8WuGenLy",146,6,152
1290043615243194369,"La caída no mató al principe, pero se cayó en un arbusto de espinas, ustedes saben, como los que abundan en los cue… https://t.co/su5IVHI92V",108,6,114
1290044338014007298,"Pasó el tiempo y Rapunzel parió a unos gemelos, un niño y una niña, porque es sabido que los cuentos de hadas tiene… https://t.co/bNQcXIuhxJ",133,7,140
1290045453514362880,"Después de muchos años, un buen día que Rapunzel estaba pasando coleto cantando Olga Tañón, el principe ciego recon… https://t.co/qmgL6GgDEE",110,7,117
1290046266827845633,"Y nada, regresaron al palacio del principe y vivieron felices para siempre. *aplausos grabados* Ah, y por cierto, l… https://t.co/dKfzyClk2S",201,9,210
1290047136365596673,"Y ya, esa fue la hisoria de Rapunzel. Y recuerden niñitas y niñitos, cuídense porque lo único peor que un embarazo… https://t.co/e0JBFiZh2M",397,17,414
