Tweet ID,Text,Likes,Retweets,Total Interactions
1365747882922553346,"Se me callan. Si, sé que ha pasado mucho tiempo pero díganme una cosa, si Rihanna se ha tomado 5 años de algo que l… https://t.co/YknBMarrny",790,132,922
1365747893680881666,"A ver, si hacen memoria, van a recordar que el “Robin Hood” de Disney es un zorro, y todos los personajes son anima… https://t.co/ssSZmHpd5r",86,2,88
1365747909875089415,Esta decisión no fue simplemente una picada de culo de Disney©. Sino que en verdad la película está basada en dos c… https://t.co/mofsIM2Q7v,64,2,66
1365748021498118147,"Renart el zorro o Roman de Renart, son todo un conjunto de Fábulas francesas entre los siglos XII y XIII, que básic… https://t.co/JxnkqrXA6h",91,2,93
1365748043375648779,"Entonces, ¿qué hizo Disney? Pues agarro dos historias, y a todos los animalitos de Renart el zorro les asignó un pe… https://t.co/jZeP0Ue2rQ",81,2,83
1365748054519808000,Les voy a hacer lo mismo. https://t.co/20t3WMgrjm,57,2,59
1365748067421589508,"Primero. Salgamos del elefante en la habitación: ¿Robin Hood existió? 

Miren, no sé, Los historiadores tampoco. Lo… https://t.co/JwVqX8E9Gx",60,1,61
1365748088623759362,Bueno. Robin Hood es un hero legendario del folclore inglés del siglo XIII que básicamente es la pesadilla de cualq… https://t.co/BIcOESYSN7,80,1,81
1365748121926516741,"Como ya dije, Robin Hood es parte del folclore inglés y son historias viejísimas. Entre los siglos XIII y XIV hay d… https://t.co/127C5xgzXd",97,3,100
1365748136346595333,"Pero, PERO, en 1883 llegó a salvar mi vida Howard Pyle. Que agarró todas esas changas y las recopiló en un solo lib… https://t.co/8C1CU89xja",95,1,96
1365748148669448193,"Ajá érase una vez en un lugar llamado Nottingham en Inglaterra, vivía un forajido/pran y su banda de forajidos con… https://t.co/vWoQDHYR2Y",67,1,68
1365748181770846210,"Pero la historia no empieza ahí. Cuando Robin Hood tenía 18 años, decidió participar en un torneo del rey de arquer… https://t.co/ARimwF3lcz",57,1,58
1365748196387995652,"Y nada, Robin estaba en el torneo ahí como en su peo; Hasta que llegó un grupo de hombres blancos católicos y heter… https://t.co/MnlppM7kwS",71,2,73
1365748214364844039,"Robin, en defensa propia, mató a uno de los carajos. Y nada, al ver lo que había hecho, se cagó y huyó al bosque do… https://t.co/m7SCEewVIt",55,1,56
1365748231313981452,"Por esto, pusieron una recompensa de 200 libras para la persona que lo atrapará. Y el Sheriff de Nottingham se empe… https://t.co/ugbsaMqV8S",66,1,67
1365748249089503238,Y así empezó el juego de policías y ladrones de Robin con el Sheriff. Muchos otros forajidos del bosque se unieron… https://t.co/JbvZ5otZnx,57,1,58
1365748268307726336,"En fin,  un día Robin conoció a un hombre mientras estaban a punto de cruzar un puente; El único problema, era que… https://t.co/A8PV3CZ583",53,1,54
1365748282975207427,UN DUELO A MUERTE NOJODA!!!!! Esooo 👏🏻 👏🏻 TESTOS-TERONA TESTOS-TERONA perdón pero es que- https://t.co/je7S51vivC,78,1,79
1365748307323150338,Ok después de unos sólidos 20 min de “duelo a muerte” Robin Hood se dio cuenta de que su contrincante era tan fuert… https://t.co/6YEG8o0ZhR,73,1,74
1365748335848611848,En otra oportunidad el Sheriff mandó a un mercenario a buscar información de Robin Hood; Pero quedó como una payasa… https://t.co/y6WOZPWCn8,89,1,90
1365748352818831364,"Y bueno para ponerle un poco de turbo a esto porque entiendo que ustedes tienen otras vainas que hacer, esa es más… https://t.co/iWxOCa6TIl",54,1,55
1365748366207029250,"Ya hacía el final de la historia, al fin aparece el rey Richard que estaba de gira por el reino, porque venían unas… https://t.co/rijxvqkb1S",53,1,54
1365748400902320132,Así que el rey decidió disfrazarse ( en esta vaina todo el mundo se disfraza ok) e ir a encontrarse con Robin Hood.… https://t.co/4aclInEIiY,59,1,60
1365748416370851845,"Por esto el rey reveló su verdadera identidad y lo nombró a el, y a toda su banda, caballeros de la core y los nuev… https://t.co/1zyQlqOV9O",72,1,73
1365748433341083648,"Después de muchos años, cuando Robin Hood ya estaba viejo, cayó enfermo y fue a la casa de una prima para que lo cu… https://t.co/X28pGoSRV5",58,1,59
1365748941623549961,"Y ya, esa fue la historia de Robin Hood. Recuerden niñitas y niñitos: NO ROBEN CARAJO 😬 🗞FIN.",84,2,86
