Tweet ID,Text,Likes,Retweets,Total Interactions
1328172098733428740,Se me callan porque vuelvo con fuerza para contarles por qué NO se deben hacer negocios con enanos con mente de tib… https://t.co/wFRgod9rsP,936,194,1130
1328172818467532801,Esta es otra historia casi tan vieja como JVR del folclore alemán que los hermanos Grimm tomaron y relanzaron en el… https://t.co/9YOjU2ufdF,84,2,86
1328172836167577600,"Bueno. Disney no tiene una película como tal de Rumpelstiltskin, pero si vieron Shrek 3 se pueden acordar del enano… https://t.co/OUbnC1StIe",83,2,85
1328172849044070400,"Ok, La historia de Rumpelstiltskin comienza en un reino muy muy lejano. Donde vivía un molinero pobre y hablador de… https://t.co/nTYXAUGAO2",126,2,128
1328172866538528769,"Un día, no me pregunten por qué carajo, el molinero estaba hablando con el rey. Y en vez de hablar de Bitcoins, el… https://t.co/eRxBtiFdrj",71,2,73
1328172887002537985,El rey que era muy codicioso le dijo algo como: “cuñu chico vale me interesa esa habilidad jeje tráeme a la muchach… https://t.co/rxutsTHOfs,84,2,86
1328172906338263043,"Ahora. Yo honestamente pagaría por ver la escena del molinero llegando a su casa,  encontrar a su hija comiendo pas… https://t.co/jkKCRYtwQE",94,2,96
1328172922482135040,"Pero esa parte no la explican en el cuento. En fin, cuando la caraja llega al castillo el rey la encierra en un cua… https://t.co/XPrH0nOePR",93,2,95
1328172936751099904,"Obviamente a la caraja en la quinta Miss Venezuela Nunca le enseñaron a hilar paja en oro, así que lo único que sus… https://t.co/SDpQy4ZHJI",100,2,102
1328172952936968192,"Así que: DING DING DING, decidió sentarse a llorar como una pendeja. Mientras estaba en eso, no me pregunten cómo,… https://t.co/85ZldwfGhR",121,2,123
1328172967113728002,"El enano le dije “Buenas tardes hermosa dama, ¿por qué lloras? Y la dama en cuestión en vez de decir algo como, no… https://t.co/ZdaP6J8WzJ",79,2,81
1328172984603959296,"Aquí el enano se lanzó un monólogo larguísimo y que las crisis son oportunidades, que la plata estaba en la calle,… https://t.co/UUtZp0fjhu",108,2,110
1328172996146688000,"La jeva después de pensarlo un poco le ofreció su collar con un dije del mapa de Venezuela y el enano aceptó, así q… https://t.co/TLArgTPi4s",87,3,90
1328173011443314688,A la mañana siguiente cuando el rey vio toda la habitación llena de oro estuvo súper contentiko y ¿satisfecho? Pues… https://t.co/GJx7uZzsBM,66,2,68
1328173033266307073,Aquí otra vez la caraja se sentó a llorar porque ella no sabía cómo coño convertir paja en oro y otra vez llegó el… https://t.co/EWuAavMYw9,61,2,63
1328173064429989888,"Y miren, yo no sé de dónde una hija de un molinero saca tanto bling bling pero ok. El enano emprendedor acepta el t… https://t.co/fDUIbcwpKm",82,2,84
1328173082033393666,Y encerró a la jeva en una habitación AÚN MÁS GRANDE y llena de paja hasta el techo. Pero esta vez le dijo que si l… https://t.co/nz6o92MfGE,112,2,114
1328173100320559106,Esta vez cuando el enano tiburón le preguntó que le daría por hilar toda la paja en oro ella le dijo que ella no te… https://t.co/bT16G57ioy,74,2,76
1328173115885703168,"Quizás la caraja solo quería salir del peo y ya, pero el punto es que ella aceptó ese trato de mierda. Y por última… https://t.co/dgKMqcEq5k",78,2,80
1328173132994240512,"Bueno. La hija del molinero no volvió a ver al enano y vivió tan feliz como se puede ser en un matrimonio obligado,… https://t.co/4YZp2mnzzC",89,2,91
1328173147049357312,"La Reina estaba horrorizada y le ofreció carros, joyas y bodegones con tal que no se llevara a su hijo y a todo el… https://t.co/E7ZLPk8yiJ",72,2,74
1328173161561665537,Pero resulta que la Reina NUNCA le preguntó nisiquiera el nombre a este enano con el que estuvo haciendo negocios (… https://t.co/gROmcf52XF,73,2,75
1328173174358470656,Al día siguiente cuando llegó el enano la Reina empezó a decirle todos los nombres que pudo: Yeison? Wilson? Maikel… https://t.co/hKGmLoT7jB,78,2,80
1328173190548492291,Al día siguiente la Reina hizo que le preguntaran a todo el reino su nombre y le dijo los nombres más raros al enan… https://t.co/fS6DZCVxAA,105,2,107
1328173208386883585,Al último día el mensajero le dijo que no había encontrado ningún nombre nuevo. Pero que vio algo muy extraño en lo… https://t.co/mM9kvFUpbl,77,2,79
1328174111525310464,"Oe oe (bailando) bueno pa bailar (tomando)
Oe oe (cantando) bueno pa goza (gozando)
Oe oe (bailando) bueno pa baila… https://t.co/Nr2tU3mBxw",140,4,144
1328175443271413763,Obviamente la Reina se puso súper contenta y cuando llegó Rumpelstiltskin decidió hacerse un poco la estúpida y le… https://t.co/sG6JaGUwdT,101,2,103
1328176237840363528,Rumpelstiltskin se puso furioso y la acusó de haber hecho trampa: “ MALDITA MUJER MALDITA MUJER STOP THE COUNT” e h… https://t.co/rA8DHgpWGw,122,1,123
1328177071760281600,"Y ya. Esa fue la verdadera historia de Rumpelstiltskin, me informan que el aparece es en Shrek 4, discúlpenme las i… https://t.co/f6FevNLRoW",161,2,163
