Tweet ID,Text,Likes,Retweets,Total Interactions
1304917082023383041,"Se me callan porque me tienen harta con la peleadera. Voy a contar la verdadera historia de Tarzán, a ver si agarra… https://t.co/m99dScWQ3B",856,237,1093
1304917109290475521,"Les advierto que esto va a ser largo porque casi que tuve que sacar una maestría para hacer este hilo, así que si e… https://t.co/6PzgplWfjT",131,5,136
1304917135525916673,"Bueno, la historia original de Tarzan la escribió Edgar Rice Burroughs para una revista en el año 1912, la publicac… https://t.co/KblDECYBp6",101,4,105
1304917154924507142,Y este señor tiene fotos muy buenas así que voy a hacer una pequeña recopilación: Una foto así como que estoy leyen… https://t.co/xUHNlVfi2j,89,4,93
1304917171064233984,Así como para que me cancelen en 100 años. https://t.co/pgF03bMdWp,113,4,117
1304917186276978689,"Si, eso es un loro. https://t.co/B0egDXHW42",76,4,80
1304917200122392576,Sin comentarios. https://t.co/rvLqFDFPft,103,3,106
1304917216819904512,"Como iba diciendo Tarzan es un culebrón demasiado largo pues, ni modo que pueda echar todas las aventuras completas… https://t.co/sAOKZeqTCR",83,3,86
1304917239225872385,Una de las cosas que leí es que Tarzan es como el origen del arquetipo de superhéroe que fue la inspiración para Su… https://t.co/P8tEu0h8d1,71,3,74
1304917251695554563,"Además de esto, Burroughs tuvo que enfrentar acusaciones de plagio de parte de Kipling, el autor del libro de la se… https://t.co/rYatMAHbK9",102,3,105
1304917262365753345,"Ok bueno, la historia de Burroughs empieza más o menos igual que la de Disney, una pareja que naufraga con su bebé… https://t.co/MdLb47GmpT",96,3,99
1304917273031868421,HASTA que por supuesto los papás de Tarzan pelan bola. En la adaptación de Disney los mata el leopardo pero PLOT TW… https://t.co/BybOddhQJZ,86,3,89
1304917282880139264,"En los libros, esta tribu de simios eran unos seres que eran idénticos a unos gorilas, pero no eran gorilas, como u… https://t.co/mN3eG6iy4E",72,3,75
1304917293290393609,"Lógicamente Tarzan no se llamaba “Tarzan” su nombre de bautizo era John Clayton, pero cuando la tribu de manganis l… https://t.co/5WqU1YCjWj",86,3,89
1304917313280409600,"Y bueno nada, Tarzan crece con su madre adoptiva gorila Kala y se convierte como en el ultímate crossfitero porque… https://t.co/kPvcGlUtFR",125,3,128
1304917324139581441,"También, Tarzan no era ningún analfabeta como lo mostraron en Disney, además de hablar el idioma de su familia mang… https://t.co/xdklxsfKSX",82,3,85
1304917361691111424,"Fast forward 20 años, aparece Jane, una mujer americana que llega a la jungla con su padre. En la adaptación lo pin… https://t.co/OWuSKv50kh",71,3,74
1304917382889177089,"Bueno ellos igual que en la película se enamoran, pero Jane en un momento le dijo como “jeje tu eres muy Chevere pe… https://t.co/KnHndoFJ0W",100,3,103
1304917400031318018,"Bueno finalmente la encuentra y se casan, tiempo más adelante se entera que realmente es un conde inglés (el verdad… https://t.co/GILkHhdFd1",86,3,89
1304917413729906688,Y así Burroughs le pudo exprimir como 10 secuelas más a Tarzan. https://t.co/1gdaOfPjLs,79,3,82
1304917437775781889,"AJÁ: ¿se acuerdan que les dije que Burroughs se inspiró en otras vainas? Bueno, Tarzan quizás esté inspirado en un… https://t.co/8uCjfE0tTc",298,5,303
1304917451579240448,"Este carajo dejó 1,500 páginas donde describía su tiempo en la jungla, pero no salieron a la luz hasta que su hered… https://t.co/4dTa6ejzKm",73,4,77
1304917470457794561,"William Charles Mildin era un pequeño conde de Inglaterra, cuando al igual que Tarzan, naufraga en Africa a los 11… https://t.co/b1KXUHp21j",75,4,79
1304917485641236481,El Lord también cuenta que cuando llegó a la selva NI DE VAINA pensó en acercarse a los nativos porque no tenía muc… https://t.co/mPGrZG6b4e,90,4,94
1304917504800821248,"Al parecer los simios feos feísimos empezaron a dejarle nueces, semillas, raíces para que se alimentara, pero cuand… https://t.co/VQMBvSb5E0",89,4,93
1304918133224996870,Lord Mildin vivió con los gorilas durante mucho tiempo hasta bien entrada su adolescencia y si bien no hablaba con… https://t.co/NNqJYIc79j,83,4,87
1304918962153697287,Cuando abandonó la tribu de Gorilas vivió un buen tiempo con una tribu de nativos donde se casó con 5 mujeres y tuv… https://t.co/DvV6YSFPjF,85,4,89
1304919682797928449,"En fin, cuando la tribu donde estaba Lord Mildin entró en guerra con otra, el carajo aprovecho para decirle a sus c… https://t.co/UtC2roe9vN",95,3,98
1304920617234378754,"Y es por esto niñitos que estas crónicas no fueron públicas hasta que su hijo de Inglaterra murió, PORQUE TENÍA CUA… https://t.co/1Q0tmg82A0",99,5,104
1304921155216838659,"Y ya, esa es la historia de todos los Tarzans. Un fun fact es que Burroughs tenía mucho miedo de publicar su primer… https://t.co/ago1ciJyed",128,8,136
