Tweet ID,Text,Likes,Retweets,Total Interactions
1341970456467877890,Se me callan 🎄Porque gracias a @manuelgo y a @luis1210 siento que si no echo un cuento alusivo a las fechas “de sem… https://t.co/GxMX0nzX81,465,120,585
1341970511534968833,"Bueno, esta historia es de Charles Dickens que como pueden ver, no se acondicionaba nunca esa barba. Guacala. Pero… https://t.co/3URScjYnW3",59,1,60
1341970540651810816,"Este libro fue publicado en el año 1843 un 19 de diciembre, el día del cumpleaños de nuestra @SaschaFitness, y el l… https://t.co/YAPdNyWsrI",77,2,79
1341970567537291270,"Y de ahí el resto es historia como qn dise, porque la han versionado 340mil millones de veces en películas, musical… https://t.co/1W6FqtjLRG",70,1,71
1341970583819579392,"Ok. El libro está divido en 5 capítulos los cuales Dickens simplemente título como “ESTROFAS” no sé, no me pregunte… https://t.co/ZI86tIKGhp",51,1,52
1341970610046566402,"La vaina empieza con un clima horrendo en Londres una mañana del 24 de diciembre, donde conocemos a Ebenezer Albert… https://t.co/0CukG7qFMT",134,6,140
1341970641801641984,El carajo era tan despreciable que en una misma “ESTROFA” le rebota la invitación a la cena de navidad de su único… https://t.co/zgRluN9bcq,47,1,48
1341970662030790657,"A regañadientes solo le dio medio día NO REMUNERADO a su fiel y único empleado subpagado, Bob Cratchit. https://t.co/dyKMtflJYT",48,1,49
1341970682113089537,"Esa noche, mientras Scrooge estaba en su casa repartiendo odio con un perfil anónimo en twitter, porque vivía solo… https://t.co/8Qme4lcMVp",68,2,70
1341970702262558720,"Y antes de que pudiera meterse en el grupo de WhatsApp del condominio a quejarse del ESCÁNDALO, miró con horror que… https://t.co/ST8gbaEXeU",65,1,66
1341970730335031298,"Marley le explica que como durante su vida se dedicó a ser una persona egoísta y  avara, un cabeceguebe pues. Ahora… https://t.co/DE5v4vCoHs",57,1,58
1341970748475371520,"También le dice que ya es tarde para el, (bueno obviamente, está muerto 👏🏻) pero que Scrooge todavía tiene una últi… https://t.co/3SsIStUV5J",49,1,50
1341970766628270080,"Por último le dice “ah mira, por cierto. Te van a visitar tres espíritus hoy para ver si aprendes la lección o te v… https://t.co/tp99tdnoQH",70,1,71
1341970779093741575,!AY LLEGÓ LA PRIMERA! https://t.co/cBJB6pYR1Z,50,1,51
1341970792721084416,"El primer espíritu era un señor bajito de lentes campaneando un vaso de Whiskey, le explicó que era el espíritu de… https://t.co/tx3GWybHo8",50,1,51
1341970809305358337,Vio también su juventud cuando empezó a trabajar y perdió el compromiso con la chamyta porque lo único que le impor… https://t.co/r0rNCBrV5Z,48,1,49
1341970825918996480,"De pronto Scrooge aparece de nuevo en su habitación y se ve cegado por dos faros de luces, !Era una Merú! De la bic… https://t.co/uC7Y3MJneD",87,1,88
1341970852833853441,"El espíritu además de explicarle sobre criptomonedas y negocios de importaciones, le dice que es el espíritu de la… https://t.co/AyNWZwBv2J",68,1,69
1341970868013064193,"Y lo lleva a ver desde las ventanas (un poco creepy, pero ok.) las celebraciones que estaba haciendo la gente en to… https://t.co/f5AHlxSwFu",50,1,51
1341970888435109889,"También puede ver que el hijo más pequeño de Bob, Tiny Tim esta muy enfermito. Esto en la película de Disney lo pon… https://t.co/YLz0lrOkUg",47,1,48
1341970903933087745,De pronto el espíritu de la navidad presente desapareció y Scrooge se encontró de nuevo en su habitación. Que ahora… https://t.co/Um9lliXCk8,39,1,40
1341970918961246209,Adivinaron. ERA EL SEÑOR DE LA NOCHE. https://t.co/AWZTUk3rKh,93,1,94
1341970939307823104,"Don Omar le explica que es el espíritu de la navidad futura y lo lleva al cementerio, ahí ven el funeral de un homb… https://t.co/8qtZSO2RqK",52,2,54
1341970958979104769,Un par de tumbas desde donde estaban Scrooge pudo ver a Bob Cratchit y a su familia dejando flores en la tumba del… https://t.co/QO7Y0gMz8h,40,1,41
1341970976196718593,"Y lo and behold la tumba decía “EBENEZER SCROOGE, VIEJO PICHIRRE.” Aquí Scrooge empezó a llorar, rogar por su vida… https://t.co/vuYrUPRK4I",52,1,53
1341972657621921795,"Pero algo extraño pasó, en vez de caer 6 metros bajo tierra, Scrooge despertó la mañana siguiente a salvo en su hab… https://t.co/tcM6ByzOKQ",61,2,63
1341973699981881346,"Y ya. Esa fue la historia de los fantasmas de Scrooge. Recuerden niñitos, no cuesta nada ser amables. Hoy les deseo… https://t.co/CtRS2KYRL8",110,2,112
