Topic,created at:,lenght,Total Likes,Average Likes,Total Retweets,Average Retweets,Total Interactions,Average Interactions
La Sirenita,2020-06-05 23:36:54,22,8089,367,1244,56,9333,424
La Bella Durmiente,2020-06-07 21:36:01,23,5127,222,572,24,5699,247
Blancanieves,2020-06-13 00:09:45,45,7643,169,517,11,8160,181
La Cenicienta,2020-06-14 21:46:16,24,12081,503,1839,76,13920,580
La Bella y La Bestia,2020-06-20 19:47:36,40,9348,233,1113,27,10461,261
La Reina de las Nieves (Frozen),2020-06-23 03:38:29,30,5416,180,577,19,5993,199
Pocahontas,2020-06-28 03:52:23,21,5612,267,839,39,6451,307
Alicia en el Pais de las Maravillas,2020-07-05 20:43:50,44,7633,173,734,16,8367,190
Pinocho,2020-07-13 02:54:40,37,7452,201,950,25,8402,227
Mulan,2020-07-19 04:36:49,16,5430,339,747,46,6177,386
Moana,2020-07-26 19:32:11,23,3299,143,284,12,3583,155
Rapunzel,2020-08-02 21:49:20,23,4384,190,594,25,4978,216
Peter Pan,2020-08-10 12:07:11,32,7506,234,944,29,8450,264
La Princesa y el sapo,2020-08-17 00:17:49,17,2906,170,384,22,3290,193
Bambi,2020-08-24 18:23:41,22,2870,130,370,16,3240,147
La Caperucita Roja,2020-08-30 02:33:23,26,4579,176,650,25,5229,201
La Princesa y el guisante,2020-09-07 03:26:38,14,1628,116,165,11,1793,128
Tarzan,2020-09-12 22:57:31,30,3723,124,345,11,4068,135
Anastasia pt. 1,2020-09-27 12:51:09,26,4451,171,659,25,5110,196
Anastasia pt. 2,2020-09-27 12:53:54,25,2607,104,112,4,2719,108
El flautista de Hamelin,2020-10-04 13:14:27,19,3679,193,504,26,4183,220
El Dorado,2020-10-13 01:21:46,18,1470,81,149,8,1619,89
Hansel y Gretel,2020-10-19 01:17:57,34,4558,134,472,13,5030,147
El gato con botas,2020-10-26 00:35:07,26,3725,143,325,12,4050,155
El jinete sin cabeza,2020-11-01 01:29:28,24,2571,107,175,7,2746,114
Rumpelstiltskin,2020-11-16 03:04:39,29,3557,122,252,8,3809,131
El jorobado de Notre Dame,2020-12-06 02:49:40,33,3371,102,168,5,3539,107
